2024杭州悦声印刷纸综合价格表,,,,,,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
未注明/吨的，均为令价,,,,,,,,未注明/吨的，均为令价,,,,,,,,,,
,出色星域,平面,120g单面,正度,1300 ,珍珠白、雪冰白、极光银,,,,,140,正度,,令,4000 ,,,
,,,,,1400 ,日辉黄、丹霞橙、玛瑙红、日珥红、星空紫、星辉金、拂晓粉、香槟金、碧玺绿、月光蓝、松石青、宝石蓝、星空蓝、翡翠绿、月石银、玄武灰、矅金黑,,,,红宝石     珠光充皮,140,,唯真纹/蜂窝纹,令,4000,,,
,,,130g双面,,1700 ,珍珠白、雪冰白、极光银,,,,红宝石     皮感充皮,140g,,纳柏纹:灰色/深棕/蓝色/浅棕/桔红/棕色,令,4000,,,
,,,,,1800 ,日辉黄、丹霞橙、玛瑙红、日珥红、星空紫、星辉金、拂晓粉、香槟金、碧玺绿、月光蓝、松石青、宝石蓝、星空蓝、翡翠绿、月石银、玄武灰、矅金黑,,,,红宝石     高亮充皮,140正度,,单色,令,3750 ,,,
,,,290g双面,,3100 ,珍珠白、雪冰白,,,,,,,双色,令,3950 ,,,
,,,,,3250 ,玛瑙红、拂晓粉、碧玺绿、月光蓝、松石青、玄武灰、矅金黑,,6、8,凤歌牌凯维斯系列,新凯维斯       金属,130,正度,魔丽红 紫砂红 中国蓝 电光蓝 繁星棕 冷翡翠 粟金棕 珍珠灰 薄荷蓝 巧克力,令,1450 ,A类,,
嘉兴自产型产品,寄风系列,单面,120,正/大度,590,超白色东莞基地批量备货，嘉兴基地也可定制,,,,,,,其它色/单面纹双色,令,1400 ,,,
,,,180,,835,,,,,,,,中国红/宙斯黑,令,1600 ,,,
,,,240,,1080,,,,,凯维斯      珠光充皮,120,莲珠/蜥蜴荔枝/丝趣,金色/银色,令,1700 ,,,
,,,300,,1325,,,,,,,,大红/金铜/宝蓝/紫红/棕桐/紫罗兰,令,1650 ,,,
,,,350,,1530,,,,,凯维斯       UV高亮,130,正度,红色 深蓝 白色 黑色,令,3050 ,,,
,,,400,,1735,,,,,,,,双色,令,3375 ,,,
,,双面,120,,640,,,9,纯粹牌,万象丹荔一号,115g,正度,棕黄/棕红/棕色/天蓝,令,1450 ,1、东莞工厂备货（正度）；,,
,,,180,,885,,,,,,,,琥珀/鲜红/深咖啡,令,1550 ,2、定抄，单色3T起，货期15~30天；,,
,,,240,,1130,,,,,万象丹荔二号,115g,正度,超白/天蓝/浅灰/棕黄/棕红/棕色,令,1450 ,,,
,,,300,,1375,,,,,,,,果绿 鲜红 深咖啡 琥珀 铬黄,令,1550 ,,,
,,,350,,1580,,,,,万象丹荔三号,115g,正度,纯白  沙棕  冷灰,令,1450 ,,,
,,,400,,1785,,,,,,,,鲜红 深咖啡 琥珀,令,1550 ,,,
,"风行彩卡
（DG平面）",含黑色/鲜红,110-350,正/大度,11500/吨,压纹单面加2毛，双面加3毛,,,,万象画布纸,116,正度,超白/米黄/蛋壳黄,令,1000 ,1、东莞工厂备货（正度）；,,
,,,110,,544 ,,,,,,148,,,令,1300 ,,,
,,,120,,593 ,,,,,,209,,,令,1850 ,2、涉及贸易拆货时价格另外核算,,
,,,150,,741 ,,,,,,116,,大红/深蓝/金黄/灰色,令,1050 ,,,
,,,230,,1137 ,,,,,,148,,,令,1350 ,3、定抄，单色3T起,,
,,,250,,1235 ,,,,,,209,,,令,1900 ,,,
,,,300,,1483 ,,,新,,万象蝶变纹,100,正度,风信紫,令,1725 ,,,
,,,350,,1730 ,,,10,,万象皮纹纸,120g,正度,本质皮纹 7色,令,1400 ,S类,,
,风行彩卡   （JX平面）,黑色/红色,110-150,正/大度,10800/吨,嘉兴仓备货：正度，大度，787和889门幅卷；,,,,,130g,,充皮皮纹 / 亮光7色,令,1975 ,,,
,,,200-400,,10600/吨,,,,,万象麦穗纸,115g,正度,银白、嫩黄、鹅黄、浅灰、棕色,令,1175 ,,,
,,酒红、墨绿、烟灰、深兰、深咖啡（鲜红除外）,110-150,,11000/吨,,,,,,,,鲜红,,1325 ,,,
,,,200-400,,10800/吨,,,,,蚕丝,1.08*100米,,金黄/紫罗兰/太空银/宝蓝/森绿/棕桐,米,15.65 ,按需调拨，定色1000米起订,,
,"风行本质
（单面纹）",所有色（常备：莱妮纹）,110,正/大度,625 ,莱妮|雅莲纹|自在|中条|陨石|细条；,,,,万象创意纸,120g,正度,"共14色,其中深桔黄/石榴红/海藻红3吨起订",令,1350 ,1、东莞工厂备货；2、卷筒有货时，特规起订数量2000平方米（尾数误差±20张以内），不足起订数量，加收开机费200元。,,
,,,120,,675 ,常备正度，大度属于定制,,12~16   纯粹牌,,牛津书皮纸,120g,正度,平面/编织/麻布/菱星/新禾/细格/云宣/壁珠/经纬纹,令,1400 ,A类,,
,,,150,,800 ,莱妮纹为备货产品，常备正度，大度属于定制,,18~29,纯粹,灵感本质,120,正度,平面及单面纹/所有色,令,1150 ,A类,,
,,,200,,1050 ,300g颜色：雪白|大红|深咖啡|墨绿|绅士蓝|深蓝|黑色,,,,灵感珠光,130,正度,,令,1450 ,,,
,,,230,,1200 ,1、150g及以下，起订数量为3000㎡（成品误差数±20张以内），以实际产出数量结算货款；不足加开机费150,,,,灵感充皮,130,正度,,令,1550 ,,,
,,,250,,1300 ,,,31,凝灿,雅花/珠白,128,正度,平面,令,700 ,B类,,
,,,300,,1500 ,2、200g及以上，正大度规格起订数量为500张，不足加收开机费100元；,,,,,,,压纹,令,800 ,,,
,,,350,,1750 ,,,32~36,凝灿牌,星萃单面,110克单面,正度,冰白/米白/超白,令,800 ,A类,,
嘉兴贸易产品,顶级/嘉兴,幼纹,120-350,正/大度,11500/吨,样册标准产品，适量库存，非样册标准纹路，3000张起订，低于3000张，开机费300-500元,,,,,130克平面/单面纹,,冰白/金黄,令,900 ,,,
,,,120,,593 ,,,,,,,,超白/米白/米金/太空银/粉红/白金/紫红/金黄,令,925 ,,,
,,,170,,840 ,,,,,,,,其余色,令,1000 ,,,
,,,250,,1235 ,,,37,凝灿牌,星采,120克单面,正度,超白/白色/珠色/银色/太空银/浅紫/粉红/白金/米金/黄金/浅蓝/黑色（白底）,令,850 ,B类,,
,,,300,,1483 ,,,,,,,,深色：古铜/紫红/深紫/蓝色/深绿/深棕/银碳/玫红/海蓝/紫铜/葡萄红,令,900 ,,,
,,,350,,1730 ,,,,,,,,黑银/红银/红金/黑金,令,925 ,,,
,,单面纹,120,正/大度,695 ,,,38,,瑰丽系列,120,正度,浅色,令,950 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,170,,940 ,,,,,,,,深棕/宝蓝/金棕/紫铜,令,1050 ,,,
